LDR1,LDR2,Voltage,Temp,Humid,timestamp
933,963,5,26.7,33,4/25/2025 15:14
933,962,5,26.7,33,4/25/2025 15:14
933,962,5,26.9,33,4/25/2025 15:14
933,962,4.77,26.9,33,4/25/2025 15:14
934,962,4.78,26.8,33,4/25/2025 15:14
933,962,4.77,26.8,33,4/25/2025 15:14
933,963,4.68,26.7,33,4/25/2025 15:14
933,962,4.77,26.7,33,4/25/2025 15:14
933,962,4.77,26.3,33,4/25/2025 15:14
933,962,4.77,26.3,33,4/25/2025 15:14
933,963,4.78,26.5,33,4/25/2025 15:14
933,962,4.77,26.5,33,4/25/2025 15:14
933,962,4.78,26.2,33,4/25/2025 15:14
933,962,4.77,26.2,33,4/25/2025 15:14
933,962,4.78,26,33,4/25/2025 15:14
933,962,4.77,26,33,4/25/2025 15:14
933,962,4.78,26,33,4/25/2025 15:14
933,962,4.77,26,33,4/25/2025 15:14
933,962,4.78,26.1,33,4/25/2025 15:14
933,962,4.77,26.1,33,4/25/2025 15:14
933,962,4.78,26.4,33,4/25/2025 15:14
933,962,4.77,26.4,33,4/25/2025 15:14
932,962,4.77,26.2,33,4/25/2025 15:14
932,962,4.77,26.2,33,4/25/2025 15:14
932,962,4.72,26.1,33,4/25/2025 15:14
933,962,4.77,26.1,33,4/25/2025 15:14
932,962,4.78,26.2,32,4/25/2025 15:14
932,962,4.69,26.2,32,4/25/2025 15:14
932,962,4.78,26,32,4/25/2025 15:14
932,962,4.76,26,32,4/25/2025 15:14
932,962,4.78,26.6,32,4/25/2025 15:14
932,962,4.76,26.6,32,4/25/2025 15:14
932,962,4.77,26.2,32,4/25/2025 15:14
932,962,4.73,26.2,32,4/25/2025 15:14
932,962,4.77,26.7,32,4/25/2025 15:14
932,961,4.88,26.7,32,4/25/2025 15:14
932,961,5,26.1,32,4/25/2025 15:14
932,962,5,26.1,32,4/25/2025 15:14
932,961,5,26.1,32,4/25/2025 15:14
932,962,5,26.1,32,4/25/2025 15:14
932,961,5,26.8,32,4/25/2025 15:14
932,961,5,26.8,32,4/25/2025 15:14
931,961,5,26.9,35,4/25/2025 15:14
932,961,5,26.9,35,4/25/2025 15:14
